key;sentence_ja;sentence_fr;sort
自由[じゆう];今日[きょう]は 自由[じゆう]な 時間[じかん]が 多[おお]い。;J'ai beaucoup de temps libre aujourd'hui.;896
大分[だいぶ];今朝[けさ]は 大分[だいぶ] 冷[ひ]えますね。;Ça s'est considérablement rafraîchit ce matin, n'est-ce pas ?;898
調べる[しらべる];この 単語[たんご]の 意味[いみ]を 辞書[じしょ]で 調[しら]べましょう。;Vérifions la signification de ce mot dans un dictionnaire.;899
帰り[かえり];仕事[しごと]の 帰[かえ]りにビールを 飲[の]んだ。;J'ai bu de la bière au retour du travail.;900
立てる[たてる];来週[らいしゅう]のスケジュールを 立[た]てた。;J'ai mis en place le programme pour la semaine prochaine.;901
足りる[たりる];お 金[かね]が 足[た]りなくて 買[か]えなかった。;Puisque mon argent n'étais pas suffisant, je ne pouvais pas l'acheter.;902
過ぎる[すぎる];時[とき]が 過[す]ぎるのは 速[はや]い。;Le temps passe vite. Lit.: le temps qui s'écoule est rapide.;905
失礼[しつれい];ではそろそろ 失礼[しつれい]します。;Eh bien, il est temps pour moi d'y aller.;906
特別[とくべつ];あなたは 私[わたし]にとって 特別[とくべつ]な 人[ひと]です。;Tu es spécial pour moi.;907
社長[しゃちょう];おばは 小[ちい]さな 会社[かいしゃ]の 社長[しゃちょう]です。;Ma tante est le président d'une petite entreprise.;908
送る[おくる];彼[かれ]の 家[いえ]に 荷物[にもつ]を 送[おく]りました。;J'ai envoyé un paquet à sa maison.;909
逃げる[にげる];鳥[とり]が 窓[まど]から 逃[に]げたよ。;L'oiseau s'est enfuis par la fenêtre.;911
都合[つごう];あなたは 都合[つごう]の 良[よ]いときに 行[い]きます。;Tu vas à ta convenance.;912
高校[こうこう];妹[いもうと]は 高校[こうこう]に 通[かよ]っています。;Ma petite soeur fréquente le lycée.;915
正しい[ただしい];それは 正[ただ]しい 答[こた]えです。;C'est la bonne réponse.;916
両方[りょうほう];チョコレート とケーキを 両方[りょうほう]ください 。;Je prendrai les deux, le chocolat et le gâteau, s'il-vous-plaît.;917
負ける[まける];私[わたし]たちのチームはその 試合[しあい]で 負[ま]けた。;Notre équipe a perdu à ce match;918
用事[ようじ];父[ちち]は 用事[ようじ]で 出掛[でか]けています。;Mon père sort pour une tâche.;919
今夜[こんや];今夜[こんや]は 月[つき]がとてもきれいです。;La lune est très belle ce soir.;920
代わり[かわり];一人[ひとり]で 行[い]く 代[か]わりに 私[わたし]は 手紙[てがみ]を 送[おく]った。;Au lieu d'y aller moi même, j'ai envoyé une lettre.;923
優しい[やさしい];彼[かれ]はとても 優[やさ]しい 人[ひと]です。;C'est une personne très gentille.;924
具合[ぐあい];今日[きょう]は 体[からだ]の 具合[ぐあい]が 悪[わる]いです。;Je ne me sens pas en bonne condition aujourd'hui.;925
予定[よてい];今日[きょう]の 予定[よてい]を 教[おし]えてください。;Veuillez me dire votre emploi du temps de ce jour.;926
親[おや];親[おや]の 愛[あい]はありがたい。;Nous sommes reconnaissants de l'amour de nos parents.;927
集める[あつめる];弟[おとうと]は 切手[きって]を 集[あつ]めています。;Mon petit frère collectionne des timbres.;928
一度[いちど];前[まえ]に 一度[いちど]この 美術館[びじゅつかん]に 行[い]ったことがあります。;Je suis allé dans ce musée une fois auparavant.;929
怖い[こわい];私[わたし]は 犬[いぬ]が 怖[こわ]いです。;J'ai peur des chiens.;930
選ぶ[えらぶ];良[よ]い 家[いえ]を 選[えら]ぶのは 難[むずか]しい。;Il est difficile de choisir une bonne maison.;931
急[きゅう];友達[ともだち]が 急[きゅう]に 家[いえ]に 来[き]た。;Mon ami est soudainement venu chez moi.;932
大抵[たいてい];朝食[ちょうしょく]は 大抵[たいてい]７ 時[じ] 頃[ごろ]に 食[た]べます。;Je mange habituellement le petit déjeuner vers sept heures.;933
反対[はんたい];私[わたし]は 反対[はんたい]です。;Je suis contre.;934
急ぐ[いそぐ];私[わたし]たちは 駅[えき]へ 急[いそ]ぎました。;Nous nous sommes dépêché d'aller à la gare.;935
別れる[わかれる];駅[えき]で 友[とも]だちと 別[わか]れました。;Je me suis séparé de mon ami à la gare.;936
着物[きもの];彼女[かのじょ]は 着物[きもの]がよく 似合[にあ]います。;Le kimono lui va bien.;937
下がる[さがる];やっと 熱[ねつ]が 下[さ]がった。;Sa fièvre a fini par tomber.;938
残念[ざんねん];ご 一緒[いっしょ]できなくて 残念[ざんねん]です。;C'est regrettable qu'on ne puisse pas être ensemble.;939
探す[さがす];代役を探すのはおおごとだよ。;Trouver un remplaçant est une tâche importante.;940
昔[むかし];昔[むかし]のことを 思[おも]い 出[だ]したの。;Je me souvenais des choses du passé.;941
楽しむ[たのしむ];今日[きょう]は 一人[ひとり]の 時間[じかん]を 楽[たの]しみたい。;Aujourd'hui, je veux profiter un peu de temps pour moi. (Lit.: Aujourd'hui, je veux du temps seul pour me divertir.);942
近所[きんじょ];近所[きんじょ]にカナダ 人[じん]が 住[す]んでいる。;Un Canadien vit dans mon quartier.;943
背中[せなか];「 私[わたし]の 背中[せなか]に 乗[の]りなさい」と 言[い]った。;Monte sur mon dos a-t-il dit.;945
夢[ゆめ];私[わたし]の 夢[ゆめ]は 先生[せんせい]になることです。;Mon rêve est de devenir enseignant.;948
多く[おおく];毎年[まいとし] 多[おお]くの 人[ひと]が 海外[かいがい]へ 旅行[りょこう]する。;Beaucoup de gens voyagent à l'étranger chaque année.;949
落とす[おとす];途中[とちゅう]で 財布[さいふ]を 落[お]としました。;J'ai fait tombé mon portefeuille sur le chemin.;950
本当に[ほんとうに];あなたが 本当[ほんとう]に 好[す]きです。;Je vous apprécie vraiment.;951
準備[じゅんび];6月[ろくがつ]はサラダを 準備[じゅんび]するのが 好[す]きです。;Au mois de juin, j'aime préparer des salades.;953
美しい[うつくしい];この 絵[え]は 美[うつく]しいです。;Cette image est belle.;956
駅前[えきまえ];駅前[えきまえ]に 交番[こうばん]が 有[あ]ります。;Il y a un poste de police devant la gare.;957
金持ち[かねもち];子供[こども]の 頃[ころ]は、お 金持[かねも]ちになりたかった。;Quand j'étais enfant, je voulais devenir riche. ;958
興味[きょうみ];彼[かれ]は 禅[ぜん]に 興味[きょうみ]を 持[も]っています;Il porte un intérêt pour le Zen.;959
点[てん];その 点[てん]は 心配[しんぱい]ありません。;Pas d'inquiétude sur ce point.;960
集まる[あつまる];駅前[えきまえ]に 人[ひと]が 集[あつ]まっています。;Des gens se rassemblent devant la gare.;961
客[きゃく];その みせ は わかい 客[きゃく] が おおい です;Ce magasin a beaucoup de jeunes clients.;962
打つ[うつ];彼[かれ]はバットでボールを 打[う]った。;Il a frappé la balle avec la batte.;963
起こす[おこす];明日[あす]、６ 時[じ]に 起[お]こしてください。;Veuillez me réveiller demain à six heures.;964
片付ける[かたづける];早[はや]く 部屋[へや]を 片付[かたづ]けなさい。;Dépêches-toi de ranger ta chambre.;966
進む[すすむ];前[まえ]に 進[すす]んでください。;Veuillez avancer.;967
倒れる[たおれる];地震[じしん]でビルが 倒[たお]れた。;Le bâtiment s'est effondré lors du tremblement de terre.;968
遅れる[おくれる];今朝[けさ] 彼女[かのじょ]は 学校[がっこう]に 遅[おく]れました。;Elle était en retard pour l'école ce matin.;969
捨てる[すてる];ゴミを 捨[す]ててください。;S'il vous plaît, jetez les ordures.;970
教会[きょうかい];私[わたし]たちは 教会[きょうかい]で 結婚式[けっこんしき]をしました。;Nous nous sommes mariés dans une église.;971
以上[いじょう];あなたは18 歳[さい]以上[いじょう]ですか？;Avez-vous plus de 18 ans ?;972
申す[もうす];私[わたくし]は 鈴木[すずき]と 申[もう]します。;Je m'appelle Suzuki. (humble);973
込む[こむ];電車[でんしゃ]が 込[こ]んでいる。;Le train est bondé.;974
指[ゆび];彼[かれ]は 指[ゆび]が 太[ふと]い。;Ses doigts sont gros.;975
経験[けいけん];今日[きょう]の 試合[しあい]はいい 経験[けいけん]になりました。;Le match d'aujourd'hui a été une bonne expérience.;976
約束[やくそく];香港[ほんこん]に 行[い]くことを 約束[やくそく]します。;Je te promets que nous irons à Hong Kong.;977
済む[すむ];もう 晩[ばん]ご 飯[はん]の 準備[じゅんび]は 済[す]んだ。;La préparation du dîner est déjà complétée.;978
娘[むすめ];私[わたし]の 娘[むすめ]はアメリカにいます。;Ma fille est aux États-Unis.;979
見つける[みつける];トムを見つけて。 ;Trouvez Tom.;980
住所[じゅうしょ];この 住所[じゅうしょ]に 行[い]ってください。;Veuillez aller à cette adresse.;981
召し上がる[めしあがる];どうぞ 召[め]し 上[あ]がってください。;Je vous en prie, mangez, s'il-vous-plaît. (honorifique);982
遠く[とおく];遠[とお]くに 船[ふね]が 見[み]えます。;un navire est visible au loin.;983
危険[きけん];その 町[まち]は 今[いま]、 危険[きけん]だ。;Cette ville est dangereuse maintenant.;984
邪魔[じゃま];邪魔[じゃま]です、どいてください。;Vous bloquez le chemin, veuillez vous poussez s'il vous plait.;985
運ぶ[はこぶ];いすを２ 階[かい]に 運[はこ]んでください。;Veuillez transporter la chaise au deuxième étage.;986
例えば[たとえば];例[たと]えば、このソフトで 日本語[にほんご]を 勉強[べんきょう]することができます。;Vous pouvez utiliser ce logiciel pour étudier le japonais, par exemple.;987
番組[ばんぐみ];私[わたし]はこの 番組[ばんぐみ]が 好[す]きです。;J'aime ce programme télé.;988
この間[このあいだ];この 間[あいだ] かのじょ に あった;Je l'ai rencontrée dernièrement.;989
工場[こうじょう];彼[かれ]は 食品[しょくひん] 工場[こうじょう]で 働[はたら]いています。;Il travaille dans une usine alimentaire.;990
戦争[せんそう];２００３ 年[ねん]にイラクで 戦争[せんそう]があった。;Il y avait une guerre en Irak en 2003.;991
試験[しけん];彼[かれ]は  試験[しけん]に 合格[ごうかく]しました。;Il a passé l'examen.;992
裏[うら];会社[かいしゃ]の 裏[うら]に 公園[こうえん]があります。;Il y a un parc de l'autre côté de l'entreprise.;993
増える[ふえる];この 町[まち]は 人口[じんこう]が 増[ふ]えた。;La population de cette ville a augmenté.;994
周り[まわり];家[いえ] の 周[まわ]り に 桜[さくら] の 木[き] が あります 。;Il y a des cerisier autour de la maison.;996
直る[なおる];クーラーはまだ直[なお]りません。;Le climatiseur n'a pas encore été réparé.;998
教育[きょういく];良[よ]い 教育[きょういく]を 受[う]けた。;J'ai reçu une bonne éducation.;1000
深い[ふかい];あの 池[いけ]はとても 深[ふか]い。;Cet étang est très profond.;1001
ご主人[ごしゅじん];ご 主人[しゅじん]はお 元気[げんき]ですか。;Comment va votre mari ?;1002
道具[どうぐ];道具[どうぐ]は 全部[ぜんぶ] 準備[じゅんび]していますか。;Tous les ustensils sont préparés ?;1005
喜ぶ[よろこぶ];彼女[かのじょ]はとても 喜[よろこ]びました。;Elle était très contente.;1006
引き出す[ひきだす];大[おお]きな 買[か]い 物[もの]をするので、お 金[かね]を 引[ひ]き 出[だ]した。;Je vais faire un gros achat, alors j'ai retiré de l'argent.;1007
払う[はらう];私[わたし]が 払[はら]いましょう。;C'est moi qui vais payer.;1008
警察[けいさつ];警察[けいさつ]を 呼[よ]んでください。;Appelle la police.;1009
表[おもて];表[おもて]に 人[ひと]が 来[き]ています。;Il y a une personne qui est en train de venir, face à la porte. ;1011
参る[まいる];さあ 参[まい]りましょう か;Bien, est-ce qu'on y va ? (Humble);1012
趣味[しゅみ];私[わたし]の 趣味[しゅみ]は 映画[えいが]とテニスです。;Mes loisirs sont les films et le tennis.;1013
泣く[なく];妹[いもうと]はすぐに 泣[な]く。;Ma petite sœur se met vite à pleurer.;1014
原因[げんいん];この 事故[じこ]の 原因[げんいん]は 何[なん]ですか。;Quelle est la cause de cet accident ?;1015
心配[しんぱい];ここで待ってるから、心配すんな。;Je vais attendre ici, alors ne t'inquiète pas.;1016
食事[しょくじ];今晩はレストランで食事しよう。;Allons faire un repas au restaurant ce soir.;1017
光[ひかり];窓[まど]から 太陽[たいよう]の 光[ひかり]が 入[はい]ってきた。;La lumière du soleil entrait par la fenêtre.;1018
以内[いない];２ 万[まん] 円[えん] 以内[いない] の 時計[とけい] を 買[か]いたい です 。;Je veux acheter une montre dans les 20.000 yens.;1019
親切[しんせつ];彼[かれ]は 私[わたし]にとても 親切[しんせつ]です。;Il est très gentil avec moi.;1020
星[ほし];今夜[こんや]は 星[ほし]がよく 見[み]えます。;Vous pouvez bien voir les étoiles ce soir.;1021
熱[ねつ];きのう の よる ねつ が でました;J'ai eu de la fièvre hier soir.;1022
恥ずかしい[はずかしい];とても 恥[は]ずかしかった。;C'était très embarrassant.;1023
下着[したぎ];わたし は したぎ を て で あらう;Je lave mes sous-vêtements à la main.;1024
寄る[よる];帰[かえ]りに 叔母[おば]の 家[いえ]に 寄[よ]ります りにの;Je vais passer chez ma tante sur le chemin du retour.;1025
人口[じんこう];その 国[くに]の 人口[じんこう]はどのくらいですか。;De combien environ est la population de ce pays ?;1027
焼く[やく];今[いま]、 魚[さかな]を 焼[や]いています。;En ce moment, je grille du poisson.;1028
御目出度ございます[おめでとうございます];国際女性の日おめでとうございます！;Bonne Journée internationale (du droit) des femmes !;1029
放送[ほうそう];その 番組[ばんぐみ]は 来週[らいしゅう] 放送[ほうそう]されます。;Le programme sera diffusé la semaine prochaine.;1030
課長[かちょう];彼[かれ]は 課長[かちょう]になった。;Il est devenu chef de service.;1031
育てる[そだてる];彼女[かのじょ]は 三[さん] 人[にん]の 子[こ]を 育[そだ]てました。;Elle a élevé trois enfants.;1032
日記[にっき];私[わたし]は 毎日[まいにち]、 日記[にっき]をつけています。;Je tiens un journal intime tous les jours.;1034
勿論[もちろん];もちろん 一緒[いっしょ]に 行[い]きます。;Bien sûr, je vais avec vous.;1035
用[よう];用があるので、早く帰る。;J'ai quelque chose dont je dois m'occuper, alors je vais partir plus tôt.;1036
田舎[いなか];私[わたし]は 毎年[まいとし] 夏[なつ]に 田舎[いなか]に 帰[かえ]ります。;Chaque année, l'été, je retourne à la campagne.;1037
店員[てんいん];あの 店員[てんいん]はとても 親切[しんせつ]です。;Ce vendeur est très gentil.;1038
悲しい[かなしい];その 映画[えいが]はとても 悲[かな]しかった。;Ce film était très triste.;1040
地震[じしん];日本[にほん]は 地震[じしん]が 多[おお]いです。;Il y a beaucoup de tremblements de terre au Japon.;1041
迎える[むかえる];来年は、富士山で新年を迎えたい。;L'année prochaine, je souhaite accueillir la nouvelle année au mont Fuji.;1043
熱心[ねっしん];彼女[かのじょ]は４ 年間[ねんかん] 熱心[ねっしん]に 勉強[べんきょう]したわ。;Elle a étudié avec zèle pendant quatre ans.;1044
技術[ぎじゅつ];彼[かれ]は 非常[ひじょう]に 高[たか]い 技術[ぎじゅつ]を 持[も]っている。;Il possède des compétences extrêmement élevées.;1045
船[ふね];船[ふね]は 川[かわ]を 上[のぼ]りました。;Le navire a remonté la rivière.;1046
腕[うで];彼[かれ]の 腕[うで]は 太[ふと]い。;Il a de gros bras.;1047
安心[あんしん];それを聞いて安心しました。;J'ai été soulagé d'entendre cela.;1049
亡くなる[なくなる];おととい、 昔[むかし]の 友人[ゆうじん]が 亡[な]くなった。;Leur vieil ami est mort avant-hier.;1051
知らせる[しらせる];知らせてくれてありがとう。;Merci de me le faire savoir.;1052
下りる[おりる];そこ の かいだん を おりて ください;Veuillez descendre ces escaliers.;1053
慣れる[なれる];新[あたら]しい 家[いえ]にはもう 慣[な]れましたか。;Est-ce que vous vous êtes déjà habitué à votre nouvelle maison ?;1054
線[せん];８番線で急行に乗ります。;Je monterai dans l'express de la ligne numéro 8.;1055
文化[ぶんか];私[わたし]はこの 国[くに]の 文化[ぶんか]を 勉強[べんきょう]しています。;J'étudie la culture de ce pays.;1056
嘘[うそ];嘘[うそ]をついてはいけません。;Ne mens pas.;1058
小説[しょうせつ];私[わたし]は 月[つき]に３ 冊[さつ]くらい 小説[しょうせつ]を 読[よ]みます。;Je lis environ trois romans par mois.;1059
届ける[とどける];これを 彼[かれ]に 届[とど]けてください。;Veuillez lui livrer ceci.;1060
遠慮[えんりょ];遠慮[えんりょ]しないで、 何[なん]でも 言[い]ってください。;Ne soyez pas timide, dites moi quoi que ce soit.;1062
値段[ねだん];このベルトの 値段[ねだん]は２５００ 円[えん]でした。;Le prix de cette ceinture était de 2.500 yens.;1063
謝る[あやまる];彼[かれ]は 直[すぐ]ぐに 謝[あやま]りました。;Il s'excusa aussitôt.;1064
苦い[にがい];私[わたし]は 苦[にが]いコーヒーが 好[す]きです。;J'aime le café amer.;1065
珍しい[めずらしい];昨日[きのう] 珍[めずら]しい 果物[くだもの]を 食[た]べました。;Hier, j'ai mangé des fruits rare.;1067
泊まる[とまる];今日[きょう]はこのホテルに 泊[と]まります。;Aujourd'hui, je vais loger dans cet hôtel.;1068
乗り物[のりもの];自転車[じてんしゃ]は 便利[べんり]な 乗[の]り 物[もの]です。;Les vélos sont un moyen de transport pratique.;1069
花見[はなみ];友達[ともだち]と 花見[はなみ]をしました。;Je suis allé admirer les fleurs de cerisier avec mes amis.;1070
髪[かみ];マリアさんの髪は長いです。;Les cheveux de Maria sont longs.;1071
火事[かじ];火事[かじ]です。１１９ 番[ばん]に 電話[でんわ]してください。;Il y a un feu. Veuillez appeler le 119.;1072
引っ越す[ひっこす];来月[らいげつ] 大阪[おおさか]に 引[ひ]っ 越[こ]します。;Je vais déménager à Osaka le mois prochain.;1073
注意[ちゅうい];そのビンを落とさないように注意しなさい。;Faites attention à ne pas laisser tomber cette bouteille.;1074
足す[たす];母[はは]は 味噌[みそ]汁[しる]に 水[みず]を 足[た]した。;Ma mère a ajouté de l'eau à la soupe miso.;1075
眠い[ねむい];今日[きょう]はとても 眠[ねむ]いです。;Je suis très somnolent aujourd'hui.;1076
景色[けしき];ここは 景色[けしき]がきれいですね。;Le paysage ici est magnifique, n'est-ce pas ?;1077
取り替える[とりかえる];シーツを 取[と]り 替[か]えました。;J'ai changé les draps.;1078
案内[あんない];わたし が なか を ごあんない します;Je vais vous guider à l’intérieur.;1079
役に立つ[やくにたつ];私[わたし]は 人々[ひとびと]の 役[やく]に 立[た]ちたいと 思[おも]っています。;(Je pense que...) Je veux être utile aux autres.;1080
事務所[じむしょ];後[あと]で 事務所[じむしょ]に 来[き]てください。;Veuillez venir au bureau tout à l'heure.;1082
眠る[ねむる];昨日[きのう]は８ 時間[じかん] 眠[ねむ]りました。;J'ai dormi huit heures hier.;1083
驚く[おどろく];かれ は ち を みて おどろいた;Il a été étonné de voir du sang.;1084
鳴る[なる];今朝[けさ]、５ 時[じ]に 電話[でんわ]が 鳴[な]った。;Le téléphone a sonné à cinq heures ce matin.;1086
首[くび];キリンの 首[くび]は長[なが]い。;Le cou des girafes est long.;1087
相談[そうだん];彼には相談する人がいない。;Pour lui, il n’y a pas de personne à qui demander conseil.;1088
神社[じんじゃ];京都[きょうと]には 神社[じんじゃ]がたくさんある。;A Kyoto, il y a beaucoup de sanctuaires shinto.;1089
入院[にゅういん];トムは3ヶ月前から入院している。;Tom est hospitalisé depuis trois mois.;1090
妻[つま];今日[きょう]は 妻[つま]の 誕生[たんじょう] 日[び]だ。;C'est l'anniversaire de ma femme aujourd'hui.;1091
細かい[こまかい];彼女[かのじょ]は 細[こま]かいことにうるさい。;Elle est exigeante sur les petits détails.;1092
屋上[おくじょう];屋上[おくじょう]から 富士山[ふじさん]が 見[み]えました。;J'ai pu voir le mont Fuji depuis le dessus du toit.;1093
割れる[われる];コップが 落[お]ちて 割[わ]れた。;Le verre est tombé et s'est brisé.;1094
校長[こうちょう];あの 人[ひと]は 高校[こうこう]の 校長[こうちょう]だ。;Cette personne est le principal du lycée.;1095
投げる[なげる];ぼーる を こっち に なげて ください;S'il vous plaît, lancez la balle ici.;1096
忘れ物[わすれもの];学校[がっこう]に 忘[わす]れ 物[もの]をしました。;J'ai perdu un objet à l'école. Lit.: J'ai fait un objet perdu à l'école.;1097
壊す[こわす];彼女[かのじょ]が 私[わたし]のケータイを 壊[こわ]した。;Elle a cassé mon téléphone portable.;1098
太る[ふとる];私[わたし]の 姉[あね]はすぐ 太[ふと]ります。;Ma grande soeur prend du poids facilement.;1099
不便[ふべん];私[わたし]の 家[いえ]は 駅[えき]から 遠[とお]くて 不便[ふべん]です。;Ma maison est loin de la gare et c'est peu pratique.;1100
引き出し[ひきだし];財布[さいふ]は 引[ひ]き 出[だ]しの 中[なか]にあります。;Mon portefeuille est dans le tiroir.;1101
科学[かがく];子供[こども]の 時[とき]から科学[かがく]が 好[す]きでした。;J'aime la science depuis que je suis enfant.;1102
手袋[てぶくろ];寒[さむ]いので 手袋[てぶくろ]をしました。;Puisqu'il faisait froid, je portais des gants.;1103
運転手[うんてんしゅ];彼[かれ]はタクシーの 運転[うんてん] 手[しゅ]です。;C'est un chauffeur de taxi.;1104
匂い[におい];いい 匂[にお]いがする。;"Ça sent bon. ; (Une bonne odeur est produite.)";1105
贈り物[おくりもの];すてきな 贈[おく]り 物[もの]をどうもありがとう。;Merci pour le merveilleux cadeau.;1106
割合[わりあい];今回[こんかい]のテストは 割合[わりあい]に 簡単[かんたん]でした。;Le test de cette fois était relativement facile (par rapport à d'habitude).;1108
壊れる[こわれる];会社[かいしゃ]のパソコンが 壊[こわ]れた。;Le PC de la société est tombé en panne.;1109
か;赤いか青い。 ;Rouge ou bleu.;1110
貰う[もらう];彼女[かのじょ]からプレゼントをもらいました。;J'ai reçu un cadeau d'elle.;1111
歴史[れきし];私[わたし]は 歴史[れきし]に 興味[きょうみ]があります。;J'ai un intérêt pour l'Histoire.;1112
遊び[あそび];友達[ともだち]と 遊[あそ]びに 行[い]く 約束[やくそく]をしました。;J'ai promis d'aller jouer avec mon ami.;1113
差し上げる[さしあげる];こちらを 差[さ]し 上[あ]げます。;Je vais vous donner ceci. (humble);1114
アメリカ;アメリカから帰る前に私は卒業してしまってるでしょう。;Je serai probablement diplômé avant mon retour d'Amérique.;1115
光る[ひかる];川[かわ]の 上[うえ]で、 月[つき]が 綺麗[きれい]に 光[ひか]っていた。;Au-dessus de la rivière, la lune brillait joliment.;1116
森[もり];私[わたし]は 森[もり]を 歩[ある]くのが 好[す]きです。;J'aime marcher dans la forêt.;1117
厳しい[きびしい];私[わたし]の 上司[じょうし]はとても 厳[きび]しい。;Mon patron est très strict.;1119
止む[やむ];雨[あめ]が 止[や]みました。;La pluie a cessé.;1121
さっき;さっきの 話[はなし]を 続[つづ]けましょう。;Continuons la conversation que nous avons eue plus tôt.;1123
拾う[ひろう];道[みち]で 財布[さいふ]を 拾[ひろ]った。;J'ai trouvé un portefeuille dans la rue.;1124
留守[るす];父[ちち]は 今[いま]、 留守[るす]です。;Mon père est absent en ce moment.;1126
素晴らしい[すばらしい];素晴[すば]らしい 景色[けしき]ですね。;C'est un magnifique paysage, n'est-ce pas ?;1127
生産[せいさん];ボルドーはワインの 生産[せいさん]で 有名[ゆうめい]だ。;Bordeaux est célèbre pour la production de vin.;1128
焼ける[やける];肉[にく]が 焼[や]けました。;La viande est cuite.;1129
寂しい[さびしい];彼[かれ] は 一人[ひとり]でこの 寂[さび]しい 場所[ばしょ]に 住[す]んでいます。;Il vit seul dans cet endroit isolé.;1130
あんな;あんな 本[ほん]は 子供[こども]の 本[ほん]です。;Un tel livre est un livre pour enfants.;1131
挨拶[あいさつ];彼女[かのじょ]は 笑顔[えがお]で 挨拶[あいさつ]した。;Elle m'a salué avec un sourire.;1132
捕まえる[つかまえる];蛇[へび]がカエルを 捕[つか]まえたの。;Le serpent a capturé la grenouille.;1133
お礼[おれい];彼女[かのじょ]にお 礼[れい]の 手紙[てがみ]を 書[か]きました。;Je lui ai écrit une lettre de remerciement.;1134
数学[すうがく];兄[あに]は 数学[すうがく]の 先生[せんせい]です。;Mon grand frère est professeur de mathématiques.;1135
冷える[ひえる];クーラーで 体[からだ]が 冷[ひ]えた;Mon corps s'est refroidit sous le climatiseur.;1136
複雑[ふくざつ];このプログラムはとても 複雑[ふくざつ]です。;Ce programme est très complexe.;1138
大学生[だいがくせい];姉[あね]は 大学生[だいがくせい]です。;Ma grande sœur est étudiante.;1139
ご存知[ごぞんじ];この人の名前をご存知ですか。;Connaissez-vous le nom de cette personne ? (Honorifique);1140
発音[はつおん];この 単語[たんご]を 発音[はつおん]してください。;Veuillez prononcer ce mot.;1141
入学[にゅうがく];彼はその大学に入学を許可されなかった。;Il n'a pas été admis dans cette université.;1142
祖母[そぼ];祖母[そぼ]は 京都[きょうと]で 生[う]まれました。;Ma grand-mère est née à Kyoto.;1143
柔らかい[やわらかい];新しいソファーはとても柔らかいです。;Le nouveau canapé est vraiment moelleux.;1144
以下[いか];漢字[かんじ]のテストはいつも５０ 点[てん]以[い]下[か]です。;J'ai toujours 50 points ou moins dans les tests de Kanji.;1145
運動[うんどう];彼女たちは選挙権を勝ち取るための運動を指揮した。;Ils ont mené le mouvement pour obtenir le droit de vote.;1146
季節[きせつ];私[わたし]の 一番[いちばん] 好[す]きな 季節[きせつ]は 春[はる]です。;Ma saison favorite est le printemps.;1149
倍[ばい];これはあのケーキの2 倍[ばい]の 値段[ねだん]です。;C'est le double du prix de ce gâteau.;1150
法律[ほうりつ];新[あたら]しい 法律[ほうりつ]ができた。;Une nouvelle loi a été adoptée.;1151
品物[しなもの];その 店[みせ]はいろいろな 品物[しなもの]を 売[う]っている。;Le magasin vend toute sorte de produits.;1152
汚れる[よごれる];エプロンをしないと 服[ふく]が 汚[よご]れます。;Si vous ne portez pas un tablier, vos vêtements seront sales.;1154
移る[うつる];彼女[かのじょ]は 新[あたら]しい 会社[かいしゃ]に 移[うつ]った。;Elle a bougé vers une nouvelle entreprise.;1155
踊る[おどる];彼女[かのじょ]はクラブで 踊[おど]るのが 好[す]きです。;Elle aime danser dans un club.;1157
折る[おる];祖父[そふ]は 足[あし]の 骨[ほね]を 折[お]りました。;Mon grand-père s'est cassé un os du pied.;1158
あっ;あっ、木村さんからメールが入ってきました。;Oh, un e-mail de M. Kimura est arrivé.;1160
はっきり;今日[きょう]は 山[やま]がはっきり 見[み]える。;Vous pouvez clairement voir les montagnes aujourd'hui.;1161
うん;うん、テーブルがないね。;Ouais, il n'y a pas de table (libre), n'est-ce pas ?;1162
指輪[ゆびわ];彼女[かのじょ]に 指輪[ゆびわ]をプレゼントしました。;Je lui ai fait cadeau d'une bague.;1163
虫[むし];庭[にわ]で 秋[あき]の 虫[むし]が 泣[な]いているね。;Les insectes d'automne gazouillent dans le jardin.;1164
やっと;やっと 仕事[しごと]が 終[お]わりました。;Enfin, le travail s'est terminé.;1165
そんな;何[なに]がそんなに 悲[かな]しいの？;Qu'est-ce qui te rend triste à ce point ?;1166
喧嘩[けんか];子供達[こどもたち]はいつも 喧嘩[けんか]している。;Mes enfants se battent tout le temps.;1167
政治[せいじ];彼[かれ]は 政治[せいじ]に 興味[きょうみ]がなかった。;La politique ne l'intéressait pas.;1168
出席[しゅっせき];私がそのパーティーに出席する必要がありますか。;Est-ce qu’il y a nécessité que j’assiste à cette fête ?;1169
噛む[かむ];もっとよく 噛[か]みなさい。;Mâche mieux.;1170
経済[けいざい];大学[だいがく]で 経済[けいざい]を 勉強[べんきょう]しました。;J'ai étudié l'économie à l'université.;1172
包む[つつむ];プレゼントをきれいな 紙[かみ]で 包[つつ]みました。;J'ai emballé le cadeau dans un beau papier.;1173
小学校[しょうがっこう];家[いえ]の 近[ちか]くに 小学校[しょうがっこう]があります。;Il y a une école primaire près de chez moi.;1175
盗む[ぬすむ];誰[だれ]かが 私[わたし]のカバンを 盗[ぬす]みました。;Quelqu'un a volé mon sac.;1176
拝見[はいけん];切符を拝見します。;Puis-je voir votre billet ? (littéralement : Je vais regarder votre billet.);1177
雲[くも];今日[きょう]は 雲[くも]が 多[おお]い;Il y a beaucoup de nuages ​​aujourd'hui.;1178
