人[ひと];彼[かれ]は 優[やさ]しい 人[ひと]です。
結ぶ[むすぶ];彼女[かのじょ]は 髪[かみ]にリボンを 結[むす]んだね。
生じる[しょうじる];両者[りょうしゃ]の 間[あいだ]に 摩擦[まさつ]が 生[しょう]じています。
互い[たがい];互[たが]いの 話[はなし]をよく 聞[き]きなさい。
去る[さる];去[さ]る 者[もの]は 追[お]わず。
上等[じょうとう];上等[じょうとう]なワインを 飲[の]んだの。
濃い[こい];私[わたし]は 濃[こ]い 味[あじ]が 好[す]きだ。
割る[わる];皿[さら]を 落[お]として 割[わ]った。
表面[ひょうめん];月[つき]の 表面[ひょうめん]にはクレーターがたくさんあるね。
費用[ひよう];イタリア 旅行[りょこう]の 費用[ひよう]は 30万円[さんじゅうまんえん]です。
出版[しゅっぱん];この 本[ほん]は 十五年前[じゅうごねんまえ]に 出版[しゅっぱん]された。
迷子[まいご];うちの 子[こ]が 迷子[まいご]になりました。
勢い[いきおい];そのチームには 勢[いきお]いがありますね。
嫌う[きらう];父[ちち]はラッシュアワーを 嫌[きら]っています。
抱える[かかえる];彼[かれ]は 大[おお]きな 荷物[にもつ]を 抱[かか]えているわ。
悩む[なやむ];今度[こんど]の 夏休[なつやす]み、どこに 行[い]くか 悩[なや]むなあ。
常識[じょうしき];そんなの 常識[じょうしき]だよ。
人種[じんしゅ];この 国[くに]にはさまざまな 人種[じんしゅ]がいます。
死亡[しぼう];その 事故[じこ]では 二人[ふたり]死亡[しぼう]したの。
順調[じゅんちょう];進[すす]み 具合[ぐあい]はすべて 順調[じゅんちょう]です。
例[れい];ひとつ 例[れい]を 挙[あ]げてください。
負け[まけ];この 勝負[しょうぶ]はあなたの 負[ま]けです。
達する[たっする];気温[きおん]は 三十五度[さんじゅうごど]に 達[たっ]した。
品[しな];そちらの 品[しな]は 半額[はんがく]になっています。
文句[もんく];彼女[かのじょ]はいつも 文句[もんく]ばかり 言[い]う。
前者[ぜんしゃ];私[わたし]は 前者[ぜんしゃ]の 方[ほう]が 優[すぐ]れていると 思[おも]います。
加減[かげん];子供[こども]は 力加減[ちからかげん]を 知[し]らないことが 多[おお]い。
装置[そうち];この 装置[そうち]は 大学[だいがく]の 研究室[けんきゅうしつ]で 開発[かいはつ]された。
刺激[しげき];そのクイズ 番組[ばんぐみ]は 脳[のう]を 刺激[しげき]するね。
親戚[しんせき];祖父[そふ]の 家[いえ]に 親戚[しんせき]が 集[あつ]まったんだ。
拍手[はくしゅ];大[おお]きな 拍手[はくしゅ]が 上[あ]がった。
通過[つうか];次[つぎ]の 駅[えき]は 通過[つうか]します。
議会[ぎかい];議会[ぎかい]で 区[く]の 来年[らいねん]の 予定[よてい]が 話[はな]し 合[あ]われたんだ。
品[ひん];この 品[ひん]は、まとめ 買[が]いがお 得[とく]ですよ。
抱く[いだく];少年[しょうねん]よ 大志[たいし]を 抱[いだ]け。
結論[けつろん];今日[きょう]の 話[はな]し 合[あ]いでは 結論[けつろん]が 出[で]なかった。
祭り[まつり];先週[せんしゅう]、お 祭[まつ]りは 終[お]わりました。
育つ[そだつ];野菜[やさい]がよく 育[そだ]っている。
予測[よそく];予測[よそく]を 誤[あやま]ってしまった。
越す[こす];暑[あつ]さは 峠[とうげ]を 越[こ]したね。
制限[せいげん];彼女[かのじょ]は 食事[しょくじ]を 制限[せいげん]しています。
涙[なみだ];彼女[かのじょ]の 目[め]から 涙[なみだ]がこぼれた。
一人一人[ひとりひとり];つまり 人[ひと]は 一人一人[ひとりひとり]十分[じゅうぶん]な 食料[しょくりょう]と 衣服[いふく]が 与[あた]えられていた。
倒す[たおす];そのスキーヤーはポールを 倒[たお]した。
通行[つうこう];この 道[みち]は 通行[つうこう]できません。
含む[ふくむ];その 食品[しょくひん]は 有害[ゆうがい]物質[ぶっしつ]を 含[ふく]んでいるぞ。
馬鹿[ばか];私[わたし]は 馬鹿[ばか]だった。
完了[かんりょう];仕事[しごと]はすべて 完了[かんりょう]しました。
破る[やぶる];彼[かれ]は 約束[やくそく]を 破[やぶ]った。
香り[かおり];この 花[はな]はいい 香[かお]りがしますね。
備える[そなえる];災害[さいがい]に 備[そな]えて 大量[たいりょう]の 水[みず]を 買[か]い 込[こ]んだ。
被害[ひがい];建物[たてもの]には 何[なに]も 被害[ひがい]が 無[な]かった。
職業[しょくぎょう];あなたの 職業[しょくぎょう]を 教[おし]えてください。
見解[けんかい];あなたの 見解[けんかい]を 聞[き]かせてください。
借金[しゃっきん];彼[かれ]は 友達[ともだち]に 借金[しゃっきん]をしたんだ。
幸い[さいわい];幸[さいわ]い 電車[でんしゃ]に 嵐[あらし]の 影響[えいきょう]はなかった。
伸ばす[のばす];ストレッチで 筋肉[きんにく]を 伸[の]ばしましょう。
武器[ぶき];彼[かれ]らは 武器[ぶき]を 取[と]り 立[た]ち 上[あ]がった。
注ぐ[そそぐ];みんなのグラスにジュースを 注[そそ]いだよ。
大陸[たいりく];ユーラシアは 世界[せかい]で 最[もっと]も 大[おお]きい 大陸[たいりく]です。
権利[けんり];私[わたし]たちには 知[し]る 権利[けんり]があります。
通じる[つうじる];その 国[くに]では 英語[えいご]は 通[つう]じますか。
単なる[たんなる];単[たん]なる 機械的[きかいてき]な 問題[もんだい]です。
減らす[へらす];最近[さいきん]食事[しょくじ]を 減[へ]らしています。
会計[かいけい];会計[かいけい]の 監査[かんさ]があった。
加わる[くわわる];私[わたし]たちのチームに 彼[かれ]が 加[くわ]わった。
差別[さべつ];差別[さべつ]のない 社会[しゃかい]にしたい。
左右[さゆう];左右[さゆう]を 見[み]てから 横断歩道[おうだんほどう]を 渡[わた]りなさい。
発達[はったつ];通信[つうしん]技術[ぎじゅつ]の 発達[はったつ]は 目覚[めざ]ましいな。
解ける[とける];やっと 難[むずか]しい 問題[もんだい]が 解[と]けました。
風景[ふうけい];私[わたし]は 山[やま]の 風景[ふうけい]が 好[す]きです。
医師[いし];医師[いし]に 入院[にゅういん]を 勧[すす]められたの。
振る[ふる];犬[いぬ]がしっぽを 振[ふ]っている。
隠れる[かくれる];太陽[たいよう]が 雲[くも]に 隠[かく]れた。
女優[じょゆう];彼女[かのじょ]はずっと 女優[じょゆう]になるのが 夢[ゆめ]でした。
違いない[ちがいない];彼[かれ]は 成功[せいこう]するに 違[ちが]いないわ。
記念[きねん];卒業[そつぎょう]の 記念[きねん]にみんなで 旅行[りょこう]したよ。
承知[しょうち];君[きみ]の 事情[じじょう]は 承知[しょうち]している。
新鮮[しんせん];この 店[みせ]では 新鮮[しんせん]な 野菜[やさい]が 買[か]えますよ。
物理[ぶつり];大学[だいがく]では 物理[ぶつり]を 専攻[せんこう]していました。
秘密[ひみつ];これは 秘密[ひみつ]です。
位[くらい];位[くらい]が 上[あ]がれば 責任[せきにん]も 増[ふ]えるものだ。
救う[すくう];彼女[かのじょ]は 通[とお]りがかりの 人[ひと]に 救[すく]われたよ。
共同[きょうどう];共同[きょうどう]トイレが 嫌[いや]で 寮[りょう]を 出[で]た。
描く[えがく];彼[かれ]は 人物[じんぶつ]を 描[えが]くのが 上手[うま]いな。
議員[ぎいん];彼[かれ]は 国会[こっかい]議員[ぎいん]です。
代理[だいり];すぐにあなたの 代理人[だいりにん]に 連絡[れんらく]を 取[と]りなさい。
機関[きかん];台風[たいふう]で 交通[こうつう]機関[きかん]がストップしている。
王様[おうさま];その 国[くに]の 王様[おうさま]はとても 賢[かしこ]い。
前進[ぜんしん];一列[いちれつ]に 並[なら]んで 前進[ぜんしん]してください。
収める[おさめる];彼女[かのじょ]は 本[ほん]を 全[すべ]て 棚[たな]に 収[おさ]めた。
完成[かんせい];全体[ぜんたい]の 80パーセントが 完成[かんせい]しました。
名人[めいじん];彼[かれ]は 釣[つ]りの 名人[めいじん]です。
国民[こくみん];国民[こくみん]の 安全[あんぜん]が 最[もっと]も 大切[たいせつ]です。
喜び[よろこび];人々[ひとびと]は 喜[よろこ]びに 沸[わ]いた。
区別[くべつ];あの 二人[ふたり]はそっくりで 区別[くべつ]できない。
合格[ごうかく];クラスのみんなが 試験[しけん]に 合格[ごうかく]した。
油[あぶら];水[みず]と 油[あぶら]は 混[ま]ざらない。
犯罪[はんざい];最近[さいきん]犯罪[はんざい]が 減[へ]っています。
混乱[こんらん];地震[じしん]のあと 町[まち]は 大混乱[だいこんらん]だったよ。
単位[たんい];メートルは 長[なが]さの 単位[たんい]です。
腰[こし];昨日[きのう]から 腰[こし]が 痛[いた]い。
鉄[てつ];この 鍋[なべ]は 鉄[てつ]でできています。
小屋[こや];山小屋[やまごや]で 一夜[いちや]を 明[あ]かした。
冷静[れいせい];冷静[れいせい]に 話[はな]し 合[あ]いましょう。
舞台[ぶたい];その 物語[ものがたり]は 京都[きょうと]が 舞台[ぶたい]だ。
高速[こうそく];高速[こうそく]バスで 東京[とうきょう]に 行[い]ったんだ。
心理[しんり];顧客[こきゃく]心理[しんり]を 理解[りかい]することは 重要[じゅうよう]です。
天然[てんねん];ここは 天然[てんねん]の 温泉[おんせん]です。
非常[ひじょう];非常[ひじょう]事態[じたい]です。
用心[ようじん];夜道[よみち]は 用心[ようじん]して 歩[ある]きましょう。
代表[だいひょう];トマトは 代表的[だいひょうてき]な 夏野菜[なつやさい]だ。
銀[ぎん];かれは 銀[ぎん]メダルを 取[と]った。
経営[けいえい];我社[わがしゃ]の 経営[けいえい]はうまくいっています。
訓練[くんれん];学校[がっこう]で 避難[ひなん]訓練[くんれん]がありました。
主義[しゅぎ];わたしは 車[くるま]は 持[も]たない 主義[しゅぎ]です。
上達[じょうたつ];短[みじか]い 時間[じかん]にずいぶん 上達[じょうたつ]しましたね。
利く[きく];かのじょは 気[き]が 利[き]いている。
グループ;店[みせ]に 学生[がくせい]のグループが 来[き]た。
後者[こうしゃ];正[ただ]しい 答[こた]えは 後者[こうしゃ]です。
知能[ちのう];あの 子[こ]の 知能[ちのう]はとても 高[たか]いそうです。
機嫌[きげん];かのじょは 大変[たいへん]機嫌[きげん]がいいね。
激しい[はげしい];激[はげ]しい 雨[あめ]が 降[ふ]っています。
利益[りえき];先月[せんげつ]の 利益[りえき]は 200万円[まんえん]でした。
参加[さんか];企業[きぎょう]説明会[せつめいかい]に 参加[さんか]すると、 業界[ぎょうかい]全体[ぜんたい]の 動向[どうこう]を 知[し]ることができる。
覚める[さめる];けさは 六時[ろくじ]に 目[め]が 覚[さ]めた。
適用[てきよう];この 場合[ばあい]保険[ほけん]が 適用[てきよう]されますか。
恐らく[おそらく];首相[しゅしょう]はおそらく 辞任[じにん]するであろう。
道路[どうろ];この 道路[どうろ]は 三年前[さんねんまえ]にできました。
有効[ゆうこう];わたしの 免許[めんきょ]は 来年[らいねん]まで 有効[ゆうこう]です。
不正[ふせい];試験[しけん]で 不正[ふせい]が 見[み]つかったよ。
体温[たいおん];けさの 体温[たいおん]は 36度[ど]でした。
真っ赤[まっか];かれの 顔[かお]は 真[ま]っ 赤[か]でした。
科目[かもく];きょうは 三科目[さんかもく]のテストを 受[う]けたよ。
地位[ちい];かのじょは 会社[かいしゃ]で 高[たか]い 地位[ちい]に 就[つ]いているよ。
罪[つみ];かれの 罪[つみ]は 重[おも]いな。
商売[しょうばい];かれの 商売[しょうばい]はもうかっているな。
夜明け[よあけ];夜明[よあ]けとともに 目[め]が 覚[さ]めたんだ。
販売[はんばい];前売券[まえうりけん]は 窓口[まどぐち]で 販売[はんばい]しています。
余分[よぶん];食事[しょくじ]は 余分[よぶん]に 用意[ようい]してあります。
屋根[やね];屋根[やね]にカラスが 止[と]まっています。
切れ[きれ];この 包丁[ほうちょう]は 切[き]れがいいな。
議長[ぎちょう];議長[ぎちょう]が 開会[かいかい]の 挨拶[あいさつ]をしました。
観客[かんきゃく];観客[かんきゃく]は 興奮[こうふん]していたよ。
肌[はだ];かのじょは 肌[はだ]がとても 白[しろ]いですね。
物質[ぶっしつ];この 製品[せいひん]は 有害[ゆうがい]な 化学物質[かがくぶっしつ]を 含[ふく]んでいるわよ。
年中[ねんじゅう];おばは 年中[ねんじゅう]旅行[りょこう]しています。
疑う[うたがう];なぜあなたはわたしを 疑[うたが]うのですか。
頂戴[ちょうだい];それ 一[ひと]つ 頂戴[ちょうだい]
実施[じっし];現在[げんざい]スペシャルキャンペーンを 実施中[じっしちゅう]です。
支度[じたく];支度[じたく]ができたら 出[で]かけましょう。
昼食[ちゅうしょく];昼食[ちゅうしょく]にすしを 食[た]べました。
繋ぐ[つなぐ];インターネットは 世界[せかい]の 人々[ひとびと]を 繋[つな]ぎますね。
重視[じゅうし];あの 企業[きぎょう]では 学歴[がくれき]が 重視[じゅうし]されるよ。
掴む[つかむ];かのじょがぼくの 手[て]を 掴[つか]みました。
髪の毛[かみのけ];髪[かみ]の 毛[け]が 伸[の]びたね。
囲む[かこむ];久[ひさ]しぶりに 家族[かぞく]全員[ぜんいん]で 食卓[しょくたく]を 囲[かこ]みました。
周囲[しゅうい];大声[おおごえ]で 話[はな]すと 周囲[しゅうい]の 人[ひと]に 迷惑[めいわく]ですよ。
器用[きよう];かれはかなり 器用[きよう]な 人[ひと]です。
物音[ものおと];物音[ものおと]がしたので 見[み]に 行[い]った。
通学[つうがく];毎朝[まいあさ]通学[つうがく]に 一時間[いちじかん]かかる。
学者[がくしゃ];かれは 立派[りっぱ]な 学者[がくしゃ]になるだろう。
同一[どういつ];この 人[ひと]とその 人[ひと]は 同一[どういつ]人物[じんぶつ]ですか。
もう一つ[もうひとつ];もう 一[ひと]つソフトクリームを 食[た]べようかな。
平均[へいきん];平均[へいきん]で 一日[いちにち]に 8時間[じかん]ぐらい 働[はたら]いています。
要求[ようきゅう];そんな 要求[ようきゅう]には 答[こた]えられない。
委員[いいん];かれは 委員[いいん]に 選[えら]ばれました。
都市[とし];東京[とうきょう]は 日本一[にほんいち]大[おお]きな 都市[とし]です。
日中[にっちゅう];日中[にっちゅう]はずっと 海[うみ]で 泳[およ]いでいました。
光景[こうけい];それは 印象的[いんしょうてき]な 光景[こうけい]だった。
次々[つぎつぎ];コンマで 文[ぶん]を 次々[つぎつぎ]につないではいけない。
行き[いき];行[い]きは 新幹線[しんかんせん]で 行[い]った。
覚ます[さます];子供[こども]が 目[め]を 覚[さ]ました。
議論[ぎろん];彼女[かのじょ]には 彼[かれ]らとの 議論[ぎろん]が 良[よ]い 刺激[しげき]になったようだ。
消費[しょうひ];日本[にっぽん]は 消費[しょうひ]大国[たいこく]と 言[い]われています。
寄付[きふ];困[こま]ってる 人[ひと]に 向[む]けて 寄付[きふ]をしました。
豊か[ゆたか];かれは 心[こころ]が 豊[ゆた]かな 人[ひと]です。
軍[ぐん];けが 人[にん]は 軍[ぐん]の 病院[びょういん]に 運[はこ]ばれたよ。
行儀[ぎょうぎ];この 子[こ]は 本当[ほんとう]に 行儀[ぎょうぎ]の 良[よ]い 子[こ]です。
注[ちゅう];詳[くわ]しくは 注[ちゅう]を 読[よ]んでください。
宿[やど];今晩[こんばん]泊[と]まる 宿[やど]を 見[み]つけましょう。
計[けい];三人分[さんにんぶん]の 代金[だいきん]は 計[けい]六千円[ろくせんえん]です。
見送り[みおくり];駅[えき]に 友人[ゆうじん]の 見送[みおく]りに 行[い]きました。
底[そこ];コップの 底[そこ]が 濡[ぬ]れていますよ。
職[しょく];アブラハム・リンカーンの 父[ちち]の 職業[しょくぎょう]は 大工[だいく]だった。
局[きょく];かのじょはラジオ 局[らじおきょく]で 働[はたら]いています。
皮[かわ];りんごの 皮[かわ]をむきましたよ。
信仰[しんこう];信仰[しんこう]は 心[こころ]の 支[ささ]えです。
到着[とうちゃく];空港[くうこう]に 到着[とうちゃく]した 時[とき]、ホストファミリーが 待[ま]っていた。
辞める[やめる];かれは 会社[かいしゃ]を 辞[や]めます。
超える[こえる];音楽[おんがく]は、 言葉[ことば]を 超[こ]える。
特徴[とくちょう];この 曲線[きょくせん]がこの 車[くるま]の 特徴[とくちょう]です。
移す[うつす];机[つくえ]を 窓[まど]のそばに 移[うつ]しました。
深刻[しんこく];これは 深刻[しんこく]な 問題[もんだい]です。
牛[うし];牛[うし]が 草[くさ]を 食[た]べています。
貴重[きちょう];第三者[だいさんしゃ]からの 意見[いけん]は 貴重[きちょう]だ。
支度[したく];旅行[りょこう]の 支度[したく]をしています。
明ける[あける];もうすぐ 夜[よ]が 明[あ]けるね。
演技[えんぎ];彼女[かのじょ]のスケートの 演技[えんぎ]は 素晴[すば]らしかった。
頭痛[ずつう];きょうは 頭痛[ずつう]がします。
半ば[なかば];かれは 30代[だい]の 半[なか]ばです。
支配[しはい];ズーロンさんは 会社[かいしゃ]の 支配人[しはいにん]です。
説[せつ];わたしはかれの 説[せつ]が 正[ただ]しいと 思[おも]う。
異常[いじょう];ことしの 夏[なつ]は 異常[いじょう]な 暑[あつ]さですね。
組合[くみあい];きょうは 組合[くみあい]の 集[あつ]まりがあるわ。
膝[ひざ];スキーで 膝[ひざ]をけがしました。
主婦[しゅふ];主婦[しゅふ]の 主[おも]な 仕事[しごと]は 家事[かじ]よ。
基本[きほん];彼[かれ]はサッカーの 基本[きほん]を 知[し]らない。
氷[こおり];グラスに 氷[こおり]を 入[い]れてください。
瞬間[しゅんかん];その 瞬間[しゅんかん]猫[ねこ]が 飛[と]び 出[だ]しました。
独立[どくりつ];先日[せんじつ]会社[かいしゃ]から 独立[どくりつ]しました。
観光[かんこう];京都[きょうと]で 三日間[みっかかん]観光[かんこう]しました。
学期[がっき];新学期[しんがっき]が 始[はじ]まったね。
農家[のうか];かれは 農家[のうか]に 生[う]まれました。
離す[はなす];子供[こども]の 手[て]を 離[はな]さないでください。
預ける[あずける];かぎをかれに 預[あず]けた。
料金[りょうきん];まだ 料金[りょうきん]は 払[はら]っていないけど。
積極的[せっきょくてき];あねは 何[なに]に 対[たい]しても 積極的[せっきょくてき]です。
日光[にっこう];この 部屋[へや]は 日光[にっこう]がよく 当[あ]たるね。
働き[はたらき];部下[ぶか]が 素晴[すば]らしい 働[はたら]きをしたな。
吐く[はく];かれは 乱暴[らんぼう]な 言葉[ことば]を 吐[は]いたぞ。
棒[ぼう];この 棒[ぼう]は 何[なに]に 使[つか]うのですか。
支払う[しはらう];カウンターで 料金[りょうきん]を 支払[しはら]った。
模様[もよう];かのじょは 水玉模様[みずたまもよう]のスカートをはいているね。
震える[ふるえる];かれは 寒[さむ]くて 震[ふる]えていました。
計算[けいさん];最近[さいきん]息子[むすこ]は 分数[ぶんすう]の 計算[けいさん]を 覚[おぼ]えた。
日付[ひづけ];ここに 日付[ひづけ]とサインをお 願[ねが]いします。
呼吸[こきゅう];上手[うま]く 呼吸[こきゅう]が 出来[でき]なくて、 苦[くる]しい。
陽気[ようき];かのじょはとても 陽気[ようき]です。
額[がく];写真[しゃしん]を 額[がく]に 入[い]れて 飾[かざ]ったんだ。
万一[まんいち];万一[まんいち]のために 保険[ほけん]に 入[はい]ったの。
住民[じゅうみん];当局[とうきょく]は 地域住民[ちいきじゅうみん]の 頑強[がんきょう]な 抵抗[ていこう]にあった。
増す[ます];大雨[おおあめ]で 川[かわ]の 水[みず]かさが 増[ま]しているな。
述べる[のべる];上司[じょうし]が 意見[いけん]を 述[の]べた。
尊敬[そんけい];祖父[そふ]は 家族[かぞく]みんなに 尊敬[そんけい]されています。
順[じゅん];あいうえお 順[じゅん]に 並[なら]べてください。
平均[へいきん];平均[へいきん]で 一日[いちにち]に 8時間[はちじかん]ぐらい 働[はたら]いています。
委員[いいん];彼[かれ]は 委員[いいん]に 選[えら]ばれました。
都市[とし];東京[とうきょう]は 日本一[にほんいち]大[おお]きな 都市[とし]です。
日中[にっちゅう];日中[にっちゅう]はずっと 海[うみ]で 泳[およ]いでいました。
行き[いき];行[い]きは 新幹線[しんかんせん]で 行[い]った。
覚ます[さます];子供[こども]が 目[め]を 覚[さ]ました。
消費[しょうひ];日本[にっぽん]は 消費[しょうひ]大国[たいこく]と 言[い]われています。
軍[ぐん];怪我人[けがにん]は 軍[ぐん]の 病院[びょういん]に 運[はこ]ばれたよ。
注[ちゅう];詳[くわ]しくは 注[ちゅう]を 読[よ]んでください。
宿[やど];今晩[こんばん]泊[と]まる 宿[やど]を 見[み]つけましょう。
計[けい];三人分[さんにんぶん]の 代金[だいきん]は 計[けい]六千円[ろくせんえん]です。
見送り[みおくり];駅[えき]に 友人[ゆうじん]の 見送[みおく]りに 行[い]きました。
底[そこ];コップの 底[そこ]が 濡[ぬ]れていますよ。
局[きょく];彼女[かのじょ]はラジオ 局[らじおきょく]で 働[はたら]いています。
皮[かわ];リンゴの 皮[かわ]を 剥[む]きましたよ。
信仰[しんこう];信仰[しんこう]は 心[こころ]の 支[ささ]えです。
辞める[やめる];彼[かれ]は 会社[かいしゃ]を 辞[や]めます。
特徴[とくちょう];この 曲線[きょくせん]がこの 車[くるま]の 特徴[とくちょう]です。
移す[うつす];机[つくえ]を 窓[まど]のそばに 移[うつ]しました。
深刻[しんこく];これは 深刻[しんこく]な 問題[もんだい]です。
牛[うし];牛[うし]が 草[くさ]を 食[た]べています。
明ける[あける];もうすぐ 夜[よ]が 明[あ]けるね。
頭痛[ずつう];今日[きょう]は 頭痛[ずつう]がします。
半ば[なかば];彼[かれ]は 30代[さんじゅうだい]の 半[なか]ばです。
説[せつ];私[わたし]は 彼[かれ]の 説[せつ]が 正[ただ]しいと 思[おも]う。
異常[いじょう];今年[ことし]の 夏[なつ]は 異常[いじょう]な 暑[あつ]さですね。
組合[くみあい];今日[きょう]は 組合[くみあい]の 集[あつ]まりがあるわ。
主婦[しゅふ];主婦[しゅふ]の 主[おも]な 仕事[しごと]は 家事[かじ]よ。
氷[こおり];グラスに 氷[こおり]を 入[い]れてください。
瞬間[しゅんかん];その 瞬間[しゅんかん]猫[ねこ]が 飛[と]び 出[だ]しました。
独立[どくりつ];先日[せんじつ]会社[かいしゃ]から 独立[どくりつ]しました。
観光[かんこう];京都[きょうと]で 三日間[みっかかん]観光[かんこう]しました。
学期[がっき];新学期[しんがっき]が 始[はじ]まったね。
農家[のうか];彼[かれ]は 農家[のうか]に 生[う]まれました。
離す[はなす];子供[こども]の 手[て]を 離[はな]さないでください。
預ける[あずける];鍵[かぎ]を 彼[かれ]に 預[あず]けた。
料金[りょうきん];まだ 料金[りょうきん]は 払[はら]っていないけど。
積極的[せっきょくてき];姉[あね]は 何[なに]に 対[たい]しても 積極的[せっきょくてき]です。
日光[にっこう];この 部屋[へや]は 日光[にっこう]がよく 当[あ]たるね。
働き[はたらき];部下[ぶか]が 素晴[すば]らしい 働[はたら]きをしたな。
吐く[はく];彼[かれ]は 乱暴[らんぼう]な 言葉[ことば]を 吐[は]いたぞ。
棒[ぼう];この 棒[ぼう]は 何[なに]に 使[つか]うのですか。
支払う[しはらう];カウンターで 料金[りょうきん]を 支払[しはら]った。
模様[もよう];彼女[かのじょ]は 水玉模様[みずたまもよう]のスカートを 履[は]いているね。
震える[ふるえる];彼[かれ]は 寒[さむ]くて 震[ふる]えていました。
陽気[ようき];彼女[かのじょ]はとても 陽気[ようき]です。
額[がく];写真[しゃしん]を 額[がく]に 入[い]れて 飾[かざ]ったんだ。
万一[まんいち];万一[まんいち]のために 保険[ほけん]に 入[はい]ったの。
増す[ます];大雨[おおあめ]で 川[かわ]の 水嵩[みずかさ]が 増[ま]しているな。
述べる[のべる];上司[じょうし]が 意見[いけん]を 述[の]べた。
尊敬[そんけい];祖父[そふ]は 家族[かぞく]みんなに 尊敬[そんけい]されています。
順[じゅん];あいうえお 順[じゅん]に 並[なら]べてください。
サイン;ここにサインしてください。
就職[しゅうしょく];最近[さいきん]若[わか]い 人[ひと]たちの 就職[しゅうしょく]が 難[むずか]しくなっています。
連れ[つれ];彼女[かのじょ]は 私[わたし]の 連[つ]れです。
欠ける[かける];このコップ 欠[か]けてる。
鋭い[するどい];鋭[するど]い 刃物[はもの]で 指[ゆび]を 怪我[けが]した。
球[きゅう];彼[かれ]は 球技[きゅうぎ]が 大好[だいす]きです。
高価[こうか];彼女[かのじょ]は 高価[こうか]な 宝石[ほうせき]を 持[も]っているわ。
容易[ようい];彼[かれ]はその 問題[もんだい]を 容易[ようい]に 解決[かいけつ]したわ。
共に[ともに];最後[さいご]まで 共[とも]に 頑張[がんば]りましょう。
保存[ほぞん];データを 30分[ぷん]おきに 保存[ほぞん]してください。
畑[はたけ];母[はは]は 畑仕事[はたけしごと]が 好[す]きだ。
比較[ひかく];去年[きょねん]の 売上[うりあげ]と 比較[ひかく]しましょう。
至る[いたる];ようやく 結論[けつろん]に 至[いた]ったようね。
譲る[ゆずる];上司[じょうし]が 車[くるま]を 譲[ゆず]ってくれたの。
国語[こくご];今日[きょう]の 一時間目[いちじかんめ]は 国語[こくご]です。
長期[ちょうき];今度[こんど]の 出張[しゅっちょう]は 長期[ちょうき]の 予定[よてい]だ。
座席[ざせき];飛行機[ひこうき]の 座席[ざせき]はゆったりしていたよ。
板[いた];父[ちち]は 長[なが]い 板[いた]を 買[か]ってきたんだ。
効く[きく];この 薬[くすり]はあまりよく 効[き]かないよ。
学問[がくもん];彼[かれ]は 少年[しょうねん]の 頃[ころ]から 学問[がくもん]が 好[す]きでした。
占める[しめる];私[わたし]に 届[とど]くメールのうち 迷惑[めいわく]メールが 七割[ななわり]を 占[し]めている。
中古[ちゅうこ];その 車[くるま]は 中古[ちゅうこ]で 買[か]ったんだ。
有能[ゆうのう];彼女[かのじょ]はとても 有能[ゆうのう]な 部下[ぶか]です。
延期[えんき];運動会[うんどうかい]は 雨[あめ]で 延期[えんき]されました。
広告[こうこく];その 広告[こうこく]を 新聞[しんぶん]で 見[み]ました。
題[だい];その 曲[きょく]の 題[だい]を 思[おも]い 出[だ]せません。
進歩[しんぽ];科学技術[かがくぎじゅつ]は 目覚[めざ]ましく 進歩[しんぽ]しているの。
莫大[ばくだい];この 計画[けいかく]には 莫大[ばくだい]なお 金[かね]が 必要[ひつよう]です。
交際[こうさい];彼[かれ]はモデルと 交際[こうさい]していたんだ。
券[けん];入場券[にゅうじょうけん]をお 持[も]ちですか。
乗客[じょうきゃく];乗客[じょうきゃく]の 一人[ひとり]の 具合[ぐあい]が 悪[わる]くなったの。
章[しょう];この 本[ほん]の 第六章[だいろくしょう]が 特[とく]に 好[す]きです。
尊重[そんちょう];彼女[かのじょ]の 気持[きも]ちを 尊重[そんちょう]したい。
平ら[たいら];その 建物[たてもの]の 屋根[やね]は 平[たい]らだね。
祝う[いわう];家族[かぞく]で 彼[かれ]の 合格[ごうかく]を 祝[いわ]ったよ。
大部分[だいぶぶん];絵[え]の 大部分[だいぶぶん]が 水[みず]に 濡[ぬ]れてしまったな。
留学[りゅうがく];彼[かれ]は 留学[りゅうがく]しただけのことはある。
満ちる[みちる];月[つき]が 満[み]ちてきましたね。
労働[ろうどう];彼[かれ]らは 1日[にち]7時間[じかん]労働[ろうどう]している。
化学[かがく];彼[かれ]は 化学[かがく]の 教授[きょうじゅ]です。
図書[としょ];これは 児童図書[じどうとしょ]です。
お互い[おたがい];お 互[たが]いを 信頼[しんらい]することが 大事[だいじ]です。
贅沢[ぜいたく];彼女[かのじょ]は 一生[いっしょう]贅沢[ぜいたく]に 暮[く]らしたんだ。
沈む[しずむ];ボートが 川[かわ]に 沈[しず]んだ。
プラン;彼女[かのじょ]と 旅行[りょこう]のプランを 考[かんが]えました。
粉[こな];その 白[しろ]い 粉[こな]は 赤[あか]ちゃんのミルクです。
実に[じつに];昨日[さくじつ]のコンサートは 実[じつ]に 素晴[すば]らしかったよ。
建設[けんせつ];新[あたら]しいビルの 建設[けんせつ]が 始[はじ]まった。
宗教[しゅうきょう];宗教[しゅうきょう]を 持[も]たない 人[ひと]もたくさんいるわ。
画家[がか];この 絵[え]はスペインの 画家[がか]が 描[か]きました。
