人[ひと];彼[かれ]は 優[やさ]しい 人[ひと]です。
何[なん];質問[しつもん]は 何[なん]ですか。
見る[みる];私[わたし]は 絵[え]を 見[み]るのが 好[す]きです。
何[なに];この 学生[がくせい]は 何[なに]を 書[か]きましたか。
言う[いう];課長[かちょう]は「 一杯[いっぱい] 飲[の]みましょう」と 言[い]った。
今[いま];父[ちち]は 今[いま]テレビを 見[み]ている。
一[いち];一時[いちじ]です。
一人[ひとり];私[わたし]は 一人[ひとり]で 公園[こうえん]を 散歩[さんぽ]しました。
二人[ふたり];今日[きょう]は 妻[つま]と 二人[ふたり]で 食事[しょくじ]をします。
今日[きょう];今日[きょう]は 仕事[しごと]がありません。
行く[いく];タクシーで 病院[びょういん]に 行[い]った。
出る[でる];今朝[けさ]は 早[はや]く 家[いえ]を 出[で]ました。
分かる[わかる];質問[しつもん]の 意味[いみ]は 分[わ]かりましたか。
大きい[おおきい];あの 大[おお]きい 建物[たてもの]は 何[なん]ですか。
私[わたし];私[わたし]が 行[い]きましょう。
来る[くる];彼[かれ]は 昼過[ひるす]ぎに 来[き]ます。
言葉[ことば];この 言葉[ことば]の 意味[いみ]が 分[わ]かりません。
出す[だす];猫[ねこ]を 外[そと]に 出[だ]した？
一番[いちばん];冬[ふゆ]は 私[わたし]の 一番[いちばん] 好[す]きな 季節[きせつ]です。
見せる[みせる];その 写真[しゃしん]を 見[み]せてください。
時間[じかん];5時間[じかん] 海[うみ]にいました。
大丈夫[だいじょうぶ];大丈夫[だいじょうぶ]ですか。
出来る[できる];駅[えき]の 前[まえ]に 大[おお]きいスーパーが 出来[でき]ました。
大きな[おおきな];大[おお]きな 家[いえ]に 住[す]みたい。
入る[はいる];寒[さむ]いので 中[なか]に 入[はい]ってください。
本[ほん];本[ほん]がある。
日本[にほん];日本[にほん]は 中国[ちゅうごく]に 近[ちか]い。
入れる[いれる];鞄[かばん]に 本[ほん]を 入[い]れます。
方[かた];次[つぎ]の 方[かた]どうぞ。
話す[はなす];母[はは]と 電話[でんわ]で 話[はな]しました。
会う[あう];また 会[あ]いましょう。
仕事[しごと];3月[さんがつ]は 仕事[しごと]が 忙[いそが]しい。
昨日[きのう];昨日[きのう]メアリーが 買[か]ったのは 何[なん]ですか。
聞く[きく];彼女[かのじょ]はラジオを 聞[き]いています。
私[わたくし];私[わたくし]もです！
大切[たいせつ];これは 母[はは]が 大切[たいせつ]にしていた 指輪[ゆびわ]です。
物[もの];フランスではナイフとフォークで 食[た]べるものだ。
大好き[だいすき];私[わたし]は 犬[いぬ]が 大好[だいす]きだ。
一日[いちにち];昨日[きのう]は 一日[いちにち]テストの 勉強[べんきょう]をしていました。
後[あと];仕事[しごと]の 後[あと] 映画[えいが]を 見[み]た。
取る[とる];テストでいい 点[てん]を 取[と]った。
同じ[おなじ];彼[かれ]の 日本語[にほんご]のレベルは 私[わたし]と 同[おな]じくらいだ。
一緒[いっしょ];一緒[いっしょ]に 食事[しょくじ]しようか。
作る[つくる];今[いま] 朝[あさ]ご 飯[はん]を 作[つく]っています。
病気[びょうき];祖父[そふ]が 病気[びょうき]になった。
半分[はんぶん];お 菓子[かし]を 友達[ともだち]に 半分[はんぶん]あげた。
部屋[へや];私[わたし]の 部屋[へや]は2階[にかい]にあります。
先[さき];お 先[さき]にどうぞ。
切る[きる];この 紙[かみ]を 半分[はんぶん]に 切[き]ってください。
間[かん];1時間半[いちじかんはん]かかりますよ。
世間[せけん];世間[せけん]の 反応[はんのう]は 冷[つめ]たかった よ
夫婦[ふうふ];その 夫婦[ふうふ]は とても 仲[なか]が いい
任せる[まかせる];この 仕事[しごと]は 君[きみ]に 任[まか]せる
速度[そくど];新幹線[しんかんせん]の 速度[そくど]は どれ くらい です か
対[つい];この ズボン は 上着[うわぎ]と 対[つい]に なって います
生物[せいぶつ];海[うみ]の 底[そこ]に は 不思議[ふしぎ]な 生物[せいぶつ]が たくさん いる よ
心臓[しんぞう];祖母[そぼ]は 心臓[しんぞう]が 悪[わる]い ん だ
出身[しゅっしん];家内[かない]は 九州[きゅうしゅう]出身[しゅっしん]です
何とか[なんとか];何[なん]とか お願[ねが]い します
位置[いち];わたし の 町[まち]は 東京[とうきょう]の 北[きた]に 位置[いち]します
神[かみ];かれ は 神[かみ]を 信[しん]じて いる
確実[かくじつ];かのじょ が 将来[しょうらい] 大統領[だいとうりょう]に なる こと は 確実[かくじつ]です
処理[しょり];事務的[じむてき]な 処理[しょり]に 一週間[いっしゅうかん]かかります
戦う[たたかう];かれ は 最後[さいご]まで 戦[たたか]った よ
最低[さいてい];これ は 今[いま]まで で 最低[さいてい]の 記録[きろく]だ
生まれ[うまれ];かのじょ は 京都[きょうと]の 生[う]まれ です
流れる[ながれる];ラジオ から 美[うつく]しい 音楽[おんがく]が 流[なが]れて います
向く[むく];こっち を 向[む]いて ください
少女[しょうじょ];少女[しょうじょ]は 母親[ははおや]の 手[て]を 握[にぎ]った
続き[つづき];話[はなし]の 続[つづ]きは 電話[でんわ]で しましょう
手間[てま];これ は とても 手間[てま]の かかる 料理[りょうり]です
笑顔[えがお];赤[あか]ちゃん の 笑顔[えがお]が かわいい
生き物[いきもの];生[い]き物[もの]を 大切[たいせつ]に しましょう
知らせ[しらせ];きょう 合格[ごうかく]の 知[し]らせを もらいました
円[えん];1000円札[せんえんさつ]が テーブルの 上[うえ]に ある。
温度[おんど];いま 部屋[へや]の 温度[おんど]は 二十五度[にじゅうごど]だ
実は[じつは];あれ は 実[じつ]は わたし の 勘違[かんちが]い でした
報告[ほうこく];きのう の 会議[かいぎ]に ついて 報告[ほうこく]が あります
多少[たしょう];この ソフト に は 多少[たしょう] 問題[もんだい]が ある
法[ほう];国民[こくみん]は 法[ほう]に 従[したが]わなければ ならない よ
指す[さす];時計[とけい]が 十二時[じゅうにじ]を 指[さ]してる
行き[ゆき];東京行[とうきょうゆ]き の 列車[れっしゃ]に 乗[の]った
決定[けってい];会議[かいぎ]で 重要[じゅうよう]な 決定[けってい]が ありました
文字[もじ];壁[かべ]に 文字[もじ]が 書[か]いて あった
好み[このみ];姉[あね]と わたし は 服[ふく]の 好[この]みが 似[に]て います
何で[なんで];かのじょ は 何[なん]で 来[こ]ないん だろう
可能[かのう];二十[にじゅっ]キロ の ダイエット は 可能[かのう]だ と 思[おも]います か
主張[しゅちょう];上司[じょうし]は わたし の 主張[しゅちょう]を 受[う]け入[い]れた
許す[ゆるす];わたし は かれ を 許[ゆる]しました
明確[めいかく];かのじょ に は 明確[めいかく]な 目標[もくひょう]が ある ね
信用[しんよう];かれ の 言[い]う こと は 信用[しんよう]できない
少々[しょうしょう];塩[しお]を 少々[しょうしょう] 入[い]れて ください
付き合い[つきあい];きょう は 付[つ]き合[あ]いで 帰[かえ]りが 遅[おそ]く なります
普段[ふだん];わたし は 普段[ふだん]は Tシャツ と ジーンズ を 着[き]て います
流れ[ながれ];川[かわ]の 上流[じょうりゅう]は 流[なが]れが 速[はや]い よ
大統領[だいとうりょう];フランス の 大統領[だいとうりょう]は 誰[だれ]です か
```
```csv
始まり[はじまり];いよいよ 劇[げき] の 始[はじ]まり です ね
連続[れんぞく];彼女[かのじょ] の 人生[じんせい] は 苦労[くろう] の 連続[れんぞく] でした
触れる[ふれる];手[て] と 手[て] が 触[ふ]れて どきどき した よ
全国[ぜんこく];次[つぎ] は 全国[ぜんこく] の お天気[てんき] です
美人[びじん];彼[かれ] の お母[かあ]さん は 美人[びじん] です
団体[だんたい];サッカー は 団体[だんたい] 競技[きょうぎ] です
我々[われわれ];我々[われわれ] の 決意[けつい] は 固[かた]い です
立ち上がる[たちあがる];彼[かれ] は 急[きゅう] に 立[た]ち上[あ]がった の
人工[じんこう];これ は 人工[じんこう] の 湖[みずうみ] です
一家[いっか];あの 一家[いっか] は 仲[なか] が いい
離れる[はなれる];実家[じっか] を 4 年間[ねんかん] 離[はな]れて いました
抜ける[ぬける];彼[かれ] は グループ から 抜[ぬ]けました
地域[ちいき];この 地域[ちいき] は 雨[あめ] が 多[おお]い
満足[まんぞく];彼[かれ] は 結果[けっか] に 満足[まんぞく] した よう です
想像[そうぞう];そんな 事[こと] は 想像[そうぞう] できない よ
記者[きしゃ];彼[かれ] は 新聞[しんぶん] 記者[きしゃ] です
戦い[たたかい];長[なが]い 戦[たたか]い が 終[お]わった
笑い[わらい];あの 家[いえ] は 笑[わら]い が 絶[た]えない ね
責任[せきにん];彼[かれ] は 失敗[しっぱい] の 責任[せきにん] を 取[と]って 会社[かいしゃ] を 辞[や]めた
息[いき];大[おお]きく 息[いき] を 吸[す]って ください
辺り[あたり];辺[あた]り を 見回[みまわ]した の
理想[りそう];彼[かれ] は 高[たか]い 理想[りそう] を 持[も]って いる の
現状[げんじょう];問題[もんだい] を 解決[かいけつ] できない の が 現状[げんじょう] です
終える[おえる];やっと 宿題[しゅくだい] を 終[お]えた
成人[せいじん];娘[むすめ] が 今年[ことし] 成人[せいじん] します
仲[なか];あなたたち は 仲[なか] が いい です ね
疲れ[つかれ];最近[さいきん] 疲[つか]れ が たまって います
不足[ふそく];今年[ことし] は ひどい 水不足[みずぶそく] よ
外出[がいしゅつ];午後[ごご] は 外出[がいしゅつ] の 予定[よてい] です
程度[ていど];この 程度[ていど] の 怪我[けが] なら 大丈夫[だいじょうぶ] です
求める[もとめる];子供[こども] は 親[おや] の 愛[あい] を 求[もと]めます
機械[きかい];新[あたら]しい 機械[きかい] が 壊[こわ]れた
願い[ねがい];世界[せかい] の 平和[へいわ] が 私[わたし]たち の 願[ねが]い です
痛み[いたみ];背中[せなか] に 痛[いた]み が あります
式[しき];彼[かれ]ら は 教会[きょうかい] で 式[しき] を 挙[あ]げました
意志[いし];彼[かれ] は 意志[いし] の 強[つよ]い 人[ひと] です
動詞[どうし];食[た]べる は 動詞[どうし] です
役割[やくわり];みんな で 役割[やくわり] を 分担[ぶんたん] しましょう
苦しむ[くるしむ];彼女[かのじょ] は アレルギー に 苦[くる]しんで います
順番[じゅんばん];これ を 順番[じゅんばん] どおり に 並[なら]べ 替[か]えて ください
身長[しんちょう];身長[しんちょう] は どれ くらい あります か
一種[いっしゅ];それ は 果物[くだもの] の 一種[いっしゅ] です
決まり[きまり];決[き]まり を 守[まも]る こと は 大切[たいせつ] です
広がる[ひろがる];留学[りゅうがく] して から 私[わたし] の 世界[せかい] が 広[ひろ]がった
量[りょう];最近[さいきん] 食事[しょくじ] の 量[りょう] を 減[へ]らして います
見舞い[みまい];友達[ともだち] が 見舞[みま]い に 来[き]て くれた よ
言語[げんご];彼[かれ] は アジア の 言語[げんご] を 研究[けんきゅう] して いる
加える[くわえる];塩[しお] こしょう を 加[くわ]えて ください
正[せい];書類[しょるい] は 正[せい] と 副[ふく] の 二通[につう] あります
飛行[ひこう];この フライト の 飛行[ひこう] 時間[じかん] は 約[やく] 3 時間[じかん] です
神経[しんけい];彼[かれ] は 神経[しんけい] が 細[こま]かい です ね
自動[じどう];この ドア は 自動[じどう] よ
組[くみ];彼[かれ] は 一年二組[いちねんにくみ] の 生徒[せいと] です
永遠[えいえん];平和[へいわ] は 人類[じんるい] の 永遠[えいえん] の テーマ です
経つ[たつ];あれ から 十四年[じゅうよねん] が 経[た]ちました
```
語る[かたる];今夜[こんや] は 大[おお]いに 語[かた]りましょう
強力[きょうりょく];これ は 強力[きょうりょく] な 接着剤[せっちゃくざい] ね
試す[ためす];彼[かれ] は その ソフトウェア を 試[ため]した の
年寄り[としより];あの 村[むら] に は お年寄[としよ]り が たくさん 住[す]んで います
偶然[ぐうぜん];町[まち] で 偶然[ぐうぜん] 友人[ゆうじん] に 会[あ]いました
黙る[だまる];彼[かれ] は いつも 黙[だま]って 仕事[しごと] を します
年代[ねんだい];私[わたし] と 彼[かれ] は 同[おな]じ 年代[ねんだい] です
表情[ひょうじょう];彼[かれ] は とても 表情[ひょうじょう] が 豊[ゆた]か です ね
能[のう];先日[せんじつ] はじめて 能[のう] を 見[み] に 行[い]きました
放す[はなす];公園[こうえん] で 犬[いぬ] を 放[はな]した の
事務[じむ];事務[じむ] の 経験[けいけん] が 三年[さんねん] あります
文明[ぶんめい];多[おお]く の 文明[ぶんめい] は 川[かわ] の 近[ちか]く で 始[はじ]まった
運[うん];彼[かれ] は 運[うん] の いい 男[おとこ] です
青年[せいねん];町[まち] の 青年[せいねん]たち は ボランティア 活動[かつどう] を して います
解く[とく];この 問題[もんだい] を 解[と]けます か
正式[せいしき];正式[せいしき] な 招待状[しょうたいじょう] を 受[う]け取りました
不幸[ふこう];彼女[かのじょ] の 家族[かぞく] に 不幸[ふこう] が あった
居間[いま];父[ちち] は 居間[いま] で テレビ を 見[み]て いる
提出[ていしゅつ];課題[かだい] は 7 月[がつ] 5 日[か] まで に 提出[ていしゅつ] して ください
精神[せいしん];彼女[かのじょ] は 今[いま] 精神[せいしん] が 不安定[ふあんてい] だ
思わず[おもわず];うれしくて 思[おも]わず 涙[なみだ] が 出[で]ました
回り[まわり];先生[せんせい] の 回[まわ]り に 集[あつ]まって ください
合計[ごうけい];合計[ごうけい] 金額[きんがく] を 計算[けいさん] して ください
体育[たいいく];今日[きょう] は 体育[たいいく] の 授業[じゅぎょう] が あります
真剣[しんけん];彼[かれ] は 真剣[しんけん] に 話[はなし] を 聞[き]いて いました
覚悟[かくご];覚悟[かくご] は できて います
限る[かぎる];この サービス は 週末[しゅうまつ] に 限[かぎ]ります
土[つち];土[つち] を 掘[ほ]って 木[き] を 植[う]えました
限界[げんかい];もう 我慢[がまん] の 限界[げんかい] です
表[ひょう];この 表[ひょう] を 見[み]て ください
大いに[おおいに];大[おお]いに 学[まな]び 大[おお]いに 遊[あそ]びなさい
彼ら[かれら];彼[かれ]ら は バスケット の 選手[せんしゅ] です
親しい[したしい];週末[しゅうまつ] 親[した]しい 友達[ともだち] を 家[いえ] に 呼[よ]んだ
時刻[じこく];ただいま の 時刻[じこく] は 六時三十五分[ろくじさんじゅうごふん] です
望む[のぞむ];彼[かれ] は 私[わたし] と の 結婚[けっこん] を 望[のぞ]んで います
傾向[けいこう];最近[さいきん] の 若者[わかもの] は 難[むずか]しい 本[ほん] を 読[よ]まない 傾向[けいこう] が ある
違反[いはん];彼[かれ] は 校則[こうそく] に 違反[いはん] しました
恋[こい];彼女[かのじょ] は 恋[こい] を して きれい に なった ね
段[だん];この 階段[かいだん] は 18 段[だん] あります ね
爆発[ばくはつ];ダイナマイト が 爆発[ばくはつ] した ん だ
王[おう];王[おう] の 墓[はか] を 見学[けんがく] した よ
家事[かじ];母[はは] は 毎日[まいにち] てきぱき と 家事[かじ] を して いる よ
流行[りゅうこう];この スタイル は 今年[ことし] の 流行[りゅうこう] です
助手[じょしゅ];資料[しりょう] は 助手[じょしゅ] に 預[あず]けて おいて ください
一層[いっそう];雨[あめ] が 一層[いっそう] 激[はげ]しく なった ね
植物[しょくぶつ];休日[きゅうじつ] は 植物[しょくぶつ] の 世話[せわ] を して 過[す]ごします
組む[くむ];この プロジェクト で 私[わたし] は 彼[かれ] と 組[く]んで いる ん だ
真似[まね];娘[むすめ] は よく 私[わたし] の 真似[まね] を します
太陽[たいよう];太陽[たいよう] が 雲[くも] に 隠[かく]れた
制度[せいど];来年[らいねん] から 新[あたら]しい 制度[せいど] が 始[はじ]まります
隠す[かくす];僕[ぼく] に 隠[かく]して いる こと は ない です か
越える[こえる];私[わたし]たち は 高[たか]い 山[やま] を 越[こ]えました
禁止[きんし];交差点[こうさてん] 付近[ふきん] は 駐車[ちゅうしゃ] 禁止[きんし] です
構成[こうせい];システム の 構成[こうせい] を 変[か]えて みました
思想[しそう];人[ひと] に は 思想[しそう] の 自由[じゆう] が ある
解釈[かいしゃく];この 詩[し] を 解釈[かいしゃく] して みましょう
伸びる[のびる];髪[かみ] が だいぶ 伸[の]びた ね
示す[しめす];彼[かれ] は 新製品[しんせいひん] に 興味[きょうみ] を 示[しめ]して いる
腹[はら];腹[はら] が 減[へ]って 動[うご]けない
景気[けいき];景気[けいき] が 回復[かいふく] して きた ね
余裕[よゆう];出発[しゅっぱつ] まで 時間[じかん] の 余裕[よゆう] が あります
食料[しょくりょう];食料[しょくりょう] は この 箱[はこ] に 入[はい]って います
夫人[ふじん];スミス夫人[ふじん] が いらっしゃいました
旅[たび];姉[あね] は よく 旅[たび] を します
指導[しどう];彼[かれ] は 生徒[せいと] の 指導[しどう] が 上手[じょうず] ね
条件[じょうけん];この 条件[じょうけん] で は 厳[きび]し すぎます
礼[れい];先生[せんせい] に お礼[れい] の 手紙[てがみ] を 書[か]きました
別に[べつに];私[わたし] は 別[べつ]に 気[き] に なりません
裏切る[うらぎる];彼[かれ] は 仲間[なかま] を 裏切[うらぎ]った の
予算[よさん];予算[よさん] が 減[へ]らされた
発展[はってん];あの 会社[かいしゃ] は めざましく 発展[はってん] して いる ね
肩[かた];肩[かた] が 凝[こ]りました
恐ろしい[おそろしい];昨夜[ゆうべ] 恐[おそ]ろしい 夢[ゆめ] を 見[み]た
合図[あいず];車掌[しゃしょう] が 発車[はっしゃ] の 合図[あいず] を した よ
考慮[こうりょ];あなた の 事情[じじょう] を 考慮[こうりょ] して 予定[よてい] を 立[た]てました
記録[きろく];マラソン で 世界[せかい] 記録[きろく] が 出[で]た
繰り返す[くりかえす];彼女[かのじょ] は 同[おな]じ 間違[まちが]い を 繰[く]り返[かえ]した
教授[きょうじゅ];彼[かれ] は 化学[かがく] の 教授[きょうじゅ] です
問い[とい];この 問[と]い に 答[こた]えられます か
数字[すうじ];数字[すうじ] は 苦手[にがて] です
自殺[じさつ];犯人[はんにん] は 警察[けいさつ] に 捕[つか]まる 前[まえ] に 自殺[じさつ] しました
別れ[わかれ];別[わか]れ は いつでも 悲[かな]しい もの です
主に[おもに];私[わたし] は 主[おも]に 子供[こども] に 英語[えいご] を 教[おし]えて います
申し訳[もうしわけ];申[もう]し訳[わけ] ございません
維持[いじ];彼女[かのじょ] は なんとか 健康[けんこう] を 維持[いじ] して いる わ ね
単に[たんに];心配[しんぱい] しない で 単[たん]に 眠[ねむ]い だけ です
魅力[みりょく];彼女[かのじょ] の 明[あか]るさ に 魅力[みりょく] を 感[かん]じました
国家[こっか];首相[しゅしょう] は 国家[こっか] の リーダー だ
冗談[じょうだん];冗談[じょうだん] は やめて ください
優秀[ゆうしゅう];彼[かれ] は とても 優秀[ゆうしゅう] な 生徒[せいと] です
才能[さいのう];彼[かれ] は 芸術的[げいじゅつてき] な 才能[さいのう] に あふれて いる ね
交換[こうかん];試合[しあい] の 相手[あいて] と ユニフォーム を 交換[こうかん] した よ
大家[おおや];ここ の 大家[おおや] は 近[ちか]く に 住[す]んで います よ
現代[げんだい];現代[げんだい] の 科学[かがく] の 進歩[しんぽ] に は 驚[おどろ]く よ
活用[かつよう];彼女[かのじょ] は インターネット を 活用[かつよう] して いる の
生憎[あいにく];途中[とちゅう] で 生憎[あいにく] 雨[あめ] が 降[ふ]りだした の
商品[しょうひん];この 商品[しょうひん] は よく 売[う]れて いる
親友[しんゆう];彼[かれ] は 私[わたし] の 親友[しんゆう] です
商人[しょうにん];商人[しょうにん] は 数字[すうじ] に 強[つよ]い ね
望み[のぞみ];私[わたし] の 望[のぞ]み は 海外[かいがい] で 暮[く]らす こと です
胸[むね];胸[むね] に 少[すこ]し 痛[いた]み が あります
週[しゅう];その 次[つぎ] の 週[しゅう] は 空[あ]いてます か
型[かた];新[あたら]しい 型[かた] の カメラ を 買[か]いました
愛情[あいじょう];子供[こども] は たくさん の 愛情[あいじょう] が 必要[ひつよう] です
参考[さんこう];この 本[ほん] を 参考[さんこう] に して ください
結ぶ[むすぶ];彼女[かのじょ] は 髪[かみ] に リボン を 結[むす]んだ ね
生じる[しょうじる];両者[りょうしゃ] の 間[あいだ] に 摩擦[まさつ] が 生[しょう]じて います
互い[たがい];互[たが]い の 話[はなし] を よく 聞[き]きなさい
去る[さる];去[さ]る 者[もの] は 追[お]わず
上等[じょうとう];上等[じょうとう] な ワイン を 飲[の]んだ の
濃い[こい];私[わたし] は 濃[こ]い 味[あじ] が 好[す]き だ
割る[わる];皿[さら] を 落[お]として 割[わ]った
表面[ひょうめん];月[つき] の 表面[ひょうめん] に は クレーター が たくさん ある ね
費用[ひよう];イタリア 旅行[りょこう] の 費用[ひよう] は 30万円[さんじゅうまんえん] です
出版[しゅっぱん];この 本[ほん] は 十五年前[じゅうごねんまえ] に 出版[しゅっぱん] された
迷子[まいご];うち の 子[こ] が 迷子[まいご] に なりました
勢い[いきおい];その チーム に は 勢[いきお]い が あります ね
嫌う[きらう];父[ちち] は ラッシュアワー を 嫌[きら]って います
抱える[かかえる];彼[かれ] は 大[おお]き な 荷物[にもつ] を 抱[かか]えて いる わ
悩む[なやむ];今度[こんど] の 夏休[なつやす]み、どこ に 行[い]く か 悩[なや]む なあ
常識[じょうしき];そんな の 常識[じょうしき] だ よ
人種[じんしゅ];この 国[くに] に は さまざま な 人種[じんしゅ] が います
死亡[しぼう];その 事故[じこ] で は 二人[ふたり] 死亡[しぼう] した の
順調[じゅんちょう];進[すす]み 具合[ぐあい] は すべて 順調[じゅんちょう] です
例[れい];ひとつ 例[れい] を 挙[あ]げて ください
負け[まけ];この 勝負[しょうぶ] は あなた の 負[ま]け です
```csv
達する[たっする];気温[きおん]は 三十五度[さんじゅうごど]に 達[たっ]した。;2121
品[しな];そちらの 品[しな]は 半額[はんがく]になっています。;2122
文句[もんく];彼女[かのじょ]はいつも 文句[もんく]ばかり 言[い]う。;2123
前者[ぜんしゃ];私[わたし]は 前者[ぜんしゃ]の 方[ほう]が 優[すぐ]れていると 思[おも]います。;2124
加減[かげん];子供[こども]は 力加減[ちからかげん]を 知[し]らないことが 多[おお]い。;2125
装置[そうち];この 装置[そうち]は 大学[だいがく]の 研究室[けんきゅうしつ]で 開発[かいはつ]された。;2126
刺激[しげき];そのクイズ 番組[ばんぐみ]は 脳[のう]を 刺激[しげき]するね。;2127
親戚[しんせき];祖父[そふ]の 家[いえ]に 親戚[しんせき]が 集[あつ]まったんだ。;2128
拍手[はくしゅ];大[おお]きな 拍手[はくしゅ]が 上[あ]がった。;2130
通過[つうか];次[つぎ]の 駅[えき]は 通過[つうか]します。;2132
議会[ぎかい];議会[ぎかい]で 区[く]の 来年[らいねん]の 予定[よてい]が 話[はな]し 合[あ]われたんだ。;2135
品[ひん];この 品[ひん]は、まとめ 買[が]いがお 得[とく]ですよ。;2136
抱く[いだく];少年[しょうねん]よ 大志[たいし]を 抱[いだ]け。;2137
結論[けつろん];今日[きょう]の 話[はな]し 合[あ]いでは 結論[けつろん]が 出[で]なかった。;2139
祭り[まつり];先週[せんしゅう]、お 祭[まつ]りは 終[お]わりました。;2140
育つ[そだつ];野菜[やさい]がよく 育[そだ]っている。;2141
予測[よそく];予測[よそく]を 誤[あやま]ってしまった。;2142
越す[こす];暑[あつ]さは 峠[とうげ]を 越[こ]したね。;2143
制限[せいげん];彼女[かのじょ]は 食事[しょくじ]を 制限[せいげん]しています。;2145
涙[なみだ];彼女[かのじょ]の 目[め]から 涙[なみだ]がこぼれた。;2147
一人一人[ひとりひとり];つまり 人[ひと]は 一人一人[ひとりひとり] 十分[じゅうぶん]な 食料[しょくりょう]と 衣服[いふく]が 与[あた]えられていた。;2148
倒す[たおす];そのスキーヤーはポールを 倒[たお]した。;2149
通行[つうこう];この 道[みち]は 通行[つうこう]できません。;2150
含む[ふくむ];その 食品[しょくひん]は 有害[ゆうがい] 物質[ぶっしつ]を 含[ふく]んでいるぞ。;2151
馬鹿[ばか];私[わたし]は 馬鹿[ばか]だった。;2152
完了[かんりょう];仕事[しごと]はすべて 完了[かんりょう]しました。;2153
破る[やぶる];彼[かれ]は 約束[やくそく]を 破[やぶ]った。;2154
香り[かおり];この 花[はな]はいい 香[かお]りがしますね。;2155
備える[そなえる];災害[さいがい]に 備[そな]えて 大量[たいりょう]の 水[みず]を 買[か]い 込[こ]んだ。;2156
被害[ひがい];建物[たてもの]には 何[なに]も 被害[ひがい]が 無[な]かった。;2157
職業[しょくぎょう];あなたの 職業[しょくぎょう]を 教[おし]えてください。;2159
見解[けんかい];あなたの 見解[けんかい]を 聞[き]かせてください。;2160
借金[しゃっきん];彼[かれ]は 友達[ともだち]に 借金[しゃっきん]をしたんだ。;2161
幸い[さいわい];幸[さいわ]い 電車[でんしゃ]に 嵐[あらし]の 影響[えいきょう]はなかった。;2162
伸ばす[のばす];ストレッチで 筋肉[きんにく]を 伸[の]ばしましょう。;2163
武器[ぶき];彼[かれ]らは 武器[ぶき]を 取[と]り 立[た]ち 上[あ]がった。;2164
注ぐ[そそぐ];みんなのグラスにジュースを 注[そそ]いだよ。;2165
大陸[たいりく];ユーラシアは 世界[せかい]で 最[もっと]も 大[おお]きい 大陸[たいりく]です。;2166
権利[けんり];私[わたし]たちには 知[し]る 権利[けんり]があります。;2167
通じる[つうじる];その 国[くに]では 英語[えいご]は 通[つう]じますか。;2168
単なる[たんなる];単[たん]なる 機械的[きかいてき]な 問題[もんだい]です。;2170
減らす[へらす];最近[さいきん] 食事[しょくじ]を 減[へ]らしています。;2171
会計[かいけい];会計[かいけい]の 監査[かんさ]があった。;2173
加わる[くわわる];私[わたし]たちのチームに 彼[かれ]が 加[くわ]わった。;2174
差別[さべつ];差別[さべつ]のない 社会[しゃかい]にしたい。;2175
左右[さゆう];左右[さゆう]を 見[み]てから 横断歩道[おうだんほどう]を 渡[わた]りなさい。;2177
発達[はったつ];通信[つうしん] 技術[ぎじゅつ]の 発達[はったつ]は 目覚[めざ]ましいな。;2178
解ける[とける];やっと 難[むずか]しい 問題[もんだい]が 解[と]けました。;2179
風景[ふうけい];私[わたし]は 山[やま]の 風景[ふうけい]が 好[す]きです。;2180
医師[いし];医師[いし]に 入院[にゅういん]を 勧[すす]められたの。;2181
振る[ふる];犬[いぬ]がしっぽを 振[ふ]っている。;2182
隠れる[かくれる];太陽[たいよう]が 雲[くも]に 隠[かく]れた。;2183
女優[じょゆう];彼女[かのじょ]はずっと 女優[じょゆう]になるのが 夢[ゆめ]でした。;2184
違いない[ちがいない];彼[かれ]は 成功[せいこう]するに 違[ちが]いないわ。;2185
記念[きねん];卒業[そつぎょう]の 記念[きねん]にみんなで 旅行[りょこう]したよ。;2186
承知[しょうち];君[きみ]の 事情[じじょう]は 承知[しょうち]している。;2187
新鮮[しんせん];この 店[みせ]では 新鮮[しんせん]な 野菜[やさい]が 買[か]えますよ。;2189
物理[ぶつり];大学[だいがく]では 物理[ぶつり]を 専攻[せんこう]していました。;2190
秘密[ひみつ];これは 秘密[ひみつ]です。;2193
位[くらい];位[くらい]が 上[あ]がれば 責任[せきにん]も 増[ふ]えるものだ。;2194
救う[すくう];彼女[かのじょ]は 通[とお]りがかりの 人[ひと]に 救[すく]われたよ。;2195
共同[きょうどう];共同[きょうどう]トイレが 嫌[いや]で 寮[りょう]を 出[で]た。;2196
描く[えがく];彼[かれ]は 人物[じんぶつ]を 描[えが]くのが 上手[うま]いな。;2197
議員[ぎいん];彼[かれ]は 国会[こっかい] 議員[ぎいん]です。;2198
代理[だいり];すぐにあなたの 代理人[だいりにん]に 連絡[れんらく]を 取[と]りなさい。;2200
機関[きかん];台風[たいふう]で 交通[こうつう] 機関[きかん]がストップしている。;2201
王様[おうさま];その 国[くに]の 王様[おうさま]はとても 賢[かしこ]い。;2202
前進[ぜんしん];一列[いちれつ]に 並[なら]んで 前進[ぜんしん]してください。;2203
収める[おさめる];彼女[かのじょ]は 本[ほん]を 全[すべ]て 棚[たな]に 収[おさ]めた。;2204
完成[かんせい];全体[ぜんたい]の80パーセントが 完成[かんせい]しました。;2206
名人[めいじん];彼[かれ]は 釣[つ]りの 名人[めいじん]です。;2207
